"column_name","data_type","is_nullable","column_default"
"postcombine_3_2_equipment_master_id","uuid","YES",NULL
"precombine_1_3_equipment_type","text","YES",NULL
"precombine_1_3_existing","boolean","YES",NULL
"precombine_1_3_make","text","YES",NULL
"precombine_1_3_model","text","YES",NULL
"precombine_1_3_equipment_master_id","uuid","YES",NULL
"precombine_2_3_equipment_type","text","YES",NULL
"precombine_2_3_existing","boolean","YES",NULL
"precombine_2_3_make","text","YES",NULL
"precombine_2_3_model","text","YES",NULL
"precombine_2_3_equipment_master_id","uuid","YES",NULL
"precombine_3_3_equipment_type","text","YES",NULL
"precombine_3_3_existing","boolean","YES",NULL
"precombine_3_3_make","text","YES",NULL
"precombine_3_3_model","text","YES",NULL
"precombine_3_3_equipment_master_id","uuid","YES",NULL
"postcombine_1_3_equipment_type","text","YES",NULL
"postcombine_1_3_existing","boolean","YES",NULL
"postcombine_1_3_make","text","YES",NULL
"postcombine_1_3_model","text","YES",NULL
"postcombine_1_3_equipment_master_id","uuid","YES",NULL
"postcombine_2_3_equipment_type","text","YES",NULL
"postcombine_2_3_existing","boolean","YES",NULL
"postcombine_2_3_make","text","YES",NULL
"postcombine_2_3_model","text","YES",NULL
"postcombine_2_3_equipment_master_id","uuid","YES",NULL
"postcombine_3_3_equipment_type","text","YES",NULL
"postcombine_3_3_existing","boolean","YES",NULL
"postcombine_3_3_make","text","YES",NULL
"postcombine_3_3_model","text","YES",NULL
"postcombine_3_3_equipment_master_id","uuid","YES",NULL
"sys1_system_combiner_panel1_mlo","text","YES",NULL
"sys2_system_combiner_panel2_mlo","text","YES",NULL
"sys3_system_combiner_panel3_mlo","text","YES",NULL
"sys4_system_combiner_panel4_mlo","text","YES",NULL
"utility_service_amps","text","YES",NULL
"roof_sq_ft","integer","YES",NULL
"roof_a_panel_count","integer","YES",NULL
"roof_b_panel_count","integer","YES",NULL
"mpa_tie_in_breaker_existing","boolean","YES",NULL
"mpa_tie_in_breaker_rating","text","YES",NULL
"panel_count_mp1","integer","YES",NULL
"panel_count_mp2","integer","YES",NULL
"panel_count_mp3","integer","YES",NULL
"panel_count_mp4","integer","YES",NULL
"panel_count_mp5","integer","YES",NULL
"panel_count_mp6","integer","YES",NULL
"panel_count_mp7","integer","YES",NULL
"panel_count_mp8","integer","YES",NULL
"panel_count_mp9","integer","YES",NULL
"panel_count_mp10","integer","YES",NULL
"ground_size_sys1","text","YES",NULL
"ground_size_sys2","text","YES",NULL
"ground_size_pos3","text","YES",NULL
"ground_size_pos4","text","YES",NULL
"tap_interior_exterior","text","YES",NULL
"sys1_sms_pv_1_input","text","YES",NULL
"sys1_sms1_pv_2_input","text","YES",NULL
"sys1_sms_pv_3_input","text","YES",NULL
"sys1_sms_ess_1_input","text","YES",NULL
"sys1_sms1_ess_2_input","text","YES",NULL
"sys1_sms_backup_load_sub_panel_input","text","YES",NULL
"sys1_sms_rsd_input","text","YES",NULL
"sys1_sms_1gen_1_input","text","YES",NULL
"sys1_backup_sp_tie_in_breaker_location","text","YES",NULL
"subpanelb_small_appliances","text","YES",NULL
"subpanelb_air_conditioning_amps","text","YES",NULL
"subpanelb_furnace_amps","text","YES",NULL
"rooftypea_rafter_truss","text","YES",NULL
"rooftypeb_rafter_truss","text","YES",NULL
"sys1_combinerpanel_bus_rating","text","YES",NULL
"sys2_combiner_panel_bus_rating","text","YES",NULL
"sys2_backup_load_sub_panel_make","text","YES",NULL
"sys2_backup_load_sub_panel_model","text","YES",NULL
"sys2_backuploadsubpanel_id","uuid","YES",NULL
"sys2_backuploadsubpanel_bus_new_existing","boolean","YES",NULL
"sys2_backuploadsubpanel_bus_rating","text","YES",NULL
"sys2_backuploadsubpanel_mcb_new_existing","boolean","YES",NULL
"sys2_backuploadpanel_mcb_rating","text","YES",NULL
"sys2_backuploadsubpanel_tie_in_breaker_rating","text","YES",NULL
"sys2_backuploadsubpanel_tie_in_breaker_location","text","YES",NULL
"sys2_battery_combiner_panel_make","text","YES",NULL
"sys2_battery_combiner_panel_model","text","YES",NULL
"sys2_batterycombinerpanel_id","uuid","YES",NULL
"sys2_batterycombinerpanel_bus_new_existing","boolean","YES",NULL
