id,uuid,equipment_type,current_manufacturer,new_manufacturer,model
9045,9a212a36-7d70-4f3f-a6d5-a52882efbcc7,Solar Panel,LG Electronics,LG,LG275S1K-B3
9046,f7242af7-bb61-4230-b531-89c8a3e5d37b,Solar Panel,LG Electronics,LG,LG275S1C-L4
9047,44de5152-18f3-4a1d-a3fc-55ad835a4b07,Solar Panel,LG Electronics,LG,LG275S1W-B3
9048,9773bf79-36af-483c-9414-c6534f01880d,Solar Panel,LG Electronics,LG,LG275S1W-G4
9049,3c8d1442-1ad5-4e34-acff-fb036189cc8a,Solar Panel,LG Electronics,LG,LG280N1K-A3
9050,6ed328a9-f26c-4b6c-819a-2d71091f9ad7,Solar Panel,LG Electronics,LG,LG280N1K-B3
9051,c47fa31d-2651-42f4-9e08-691b0eb3c6c1,Solar Panel,LG Electronics,LG,LG280N1C-G3
9052,77ed1dab-94d5-4b30-a0f5-6c1b94a4e418,Solar Panel,LG Electronics,LG,LG275S1W-L4
9053,62104575-6a4b-4977-9a94-363da3f69e0d,Solar Panel,LG Electronics,LG,LG280S1C-A5
9054,7bb52a5c-f351-48a4-b4bf-777e26d76a4c,Solar Panel,LG Electronics,LG,LG280S1C-B3
9055,6daee8e9-0839-42f7-bc07-9c7657c5aa99,Solar Panel,LG Electronics,LG,LG280N9K-G4
9056,c517e160-c87c-4052-86a0-a660a5d5bdde,Solar Panel,LG Electronics,LG,LG280N1W-G3
9057,40028417-c0ac-4544-ae11-ba2ed9849a91,Solar Panel,LG Electronics,LG,LG280S1C-L4
9058,61177b80-2cac-45d7-9f43-a25a73f32277,Solar Panel,LG Electronics,LG,LG280S1W-A5
9059,2e4f7478-c3ac-4495-aa5f-db3a09d51df7,Solar Panel,LG Electronics,LG,LG280S1W-B3
9060,8b5af967-8b42-4668-a82b-e7ae02bc4b55,Solar Panel,LG Electronics,LG,LG280S1C-G4
9061,8f0009c6-baa1-4e0b-ad29-6845a930e64d,Solar Panel,LG Electronics,LG,LG280S1W-G4
9062,f4e7ba41-c582-4e04-b405-6b344ddb17fc,Solar Panel,LG Electronics,LG,LG285N1C-A3
9063,21cf2685-f61e-47d9-bf32-9028021e471d,Solar Panel,LG Electronics,LG,LG280S1W-L4
9064,d4f747d4-10a5-44d3-8293-aba825f5755b,Solar Panel,LG Electronics,LG,LG285N1C-B3
9065,5782fae5-07e0-4d61-bac4-c2b997673190,Solar Panel,LG Electronics,LG,LG285N1K-A3
9066,174b0ef6-d1ff-42cc-b71f-140df449ab7c,Solar Panel,LG Electronics,LG,LG285N1W-A3
9067,b4440912-38c1-4c10-80cc-ee41c69cef08,Solar Panel,LG Electronics,LG,LG285N1K-B3
9068,481d4ea7-80f3-4617-bfb6-4b50a22acd24,Solar Panel,LG Electronics,LG,LG285N1C-G3
9069,02593ade-9b70-4210-a68b-029b35efed4b,Solar Panel,LG Electronics,LG,LG285N1W-G3
9070,b9d76423-1488-4950-920a-63d9237ca28e,Solar Panel,LG Electronics,LG,LG285S1C-G4
9071,8de250d3-1aaa-4d11-b4fe-f4af410bdee8,Solar Panel,LG Electronics,LG,LG285N1W-B3
9072,ff2aa9cf-ef00-4c5f-b8c9-035af39f3825,Solar Panel,LG Electronics,LG,LG285S1C-A5
9073,927de916-b364-4368-86c0-a62de70eac0d,Solar Panel,LG Electronics,LG,LG285S1W-A5
9074,33c49787-96b4-4bca-8ca7-fa0c79add66b,Solar Panel,LG Electronics,LG,LG285S1W-G4
9075,81556b37-5d19-46ba-b4c1-2a63049b6ee0,Solar Panel,LG Electronics,LG,LG285S1W-L4
9076,665a804a-f90a-4f83-9019-6b840125b39a,Solar Panel,LG Electronics,LG,LG285S1C-L4
9077,330eaa7f-d5a0-450f-ac53-57d371439e81,Solar Panel,LG Electronics,LG,LG290N1C-B3
9078,63381eaa-105d-43f9-a668-082ca667f485,Solar Panel,LG Electronics,LG,LG290N1C-A3
9079,76462e41-10d8-418d-9317-f54c3aa30007,Solar Panel,LG Electronics,LG,LG290N1C-G3
9080,a0c97938-0b61-4aab-ae72-061da179dfad,Solar Panel,LG Electronics,LG,LG290N1K-A3
9081,a2064545-e260-4ab4-9b86-7c46107547a2,Solar Panel,LG Electronics,LG,LG290N1K-B3
9082,79947ea6-a796-4149-bd52-ec62c1e8f2d5,Solar Panel,LG Electronics,LG,LG290N1W-A3
9083,f572025d-7219-4b6b-b6bd-a952000f9123,Solar Panel,LG Electronics,LG,LG290N1K-Z4
9084,f2d99e92-283e-4ffa-8b59-92c286c66b49,Solar Panel,LG Electronics,LG,LG290N1T-A4
9085,0275bd9f-ddb5-4718-9183-57af9642eac1,Solar Panel,LG Electronics,LG,LG290S1C-A5
9086,fed12703-6a47-48e7-ac08-e67403473174,Solar Panel,LG Electronics,LG,LG290N1W-G3
9087,cfdaf898-5902-4a58-ba32-ac94dce72fc3,Solar Panel,LG Electronics,LG,LG290N1W-B3
9088,a5e25b85-5033-468b-b620-cadad95b5362,Solar Panel,LG Electronics,LG,LG290S1C-G4
9089,e4647c7a-2b9d-4614-a9c0-dc3b34cf1660,Solar Panel,LG Electronics,LG,LG290S1W-L4
9090,126a4392-b520-4f42-9621-cf570737a437,Solar Panel,LG Electronics,LG,LG290S1W-A5
9091,d2eabe53-e621-4bc3-ac05-d30ffe413730,Solar Panel,LG Electronics,LG,LG290S1W-G4
9092,0729bcbd-ef89-49cf-bef7-520233f691d2,Solar Panel,LG Electronics,LG,LG290S1C-L4
9093,a29be903-6a27-469d-99ea-b994bcb7c179,Solar Panel,LG Electronics,LG,LG295A1C-B3
9094,c702e302-ad88-4570-945f-e456232d06bb,Solar Panel,LG Electronics,LG,LG295N1C-B3
9095,92e6fd84-2683-4867-9535-11dad85dfb6c,Solar Panel,LG Electronics,LG,LG295N1C-A3
9096,5092ad3b-0e5b-4649-8208-e3bd6ca81507,Solar Panel,LG Electronics,LG,LG295A1W-B3
9097,ee239f47-80cc-45b7-b7e6-ba1643353e8e,Solar Panel,LG Electronics,LG,LG295N1K-B3
9098,8948b3bb-5873-4f1d-b3a2-beab2d25b967,Solar Panel,LG Electronics,LG,LG295N1C-G3
9099,c3e562b3-a061-4c99-9114-1debd14cba7e,Solar Panel,LG Electronics,LG,LG295N1C-G4
9100,d9c49b32-7acb-48a4-bb56-c93aa2026077,Solar Panel,LG Electronics,LG,LG295N1K-A3
9101,286868d6-2d60-4fa3-a537-5077ee4c05b4,Solar Panel,LG Electronics,LG,LG295N1K-Z4
9102,49d2cf76-099d-47d3-9308-4ed1cdb3b8c0,Solar Panel,LG Electronics,LG,LG295N1W-A3
9103,bb344ef6-c632-4124-a435-19a364c6bfcf,Solar Panel,LG Electronics,LG,LG295N1T-A4
9104,9925f024-687d-49e9-9252-a165bea2c73f,Solar Panel,LG Electronics,LG,LG295N1K-G4
9105,217595a3-dc72-4df6-b33a-ac333dc7ffd4,Solar Panel,LG Electronics,LG,LG295N1W-G4
9106,1e476e5f-7489-4791-8873-d5d015686990,Solar Panel,LG Electronics,LG,LG295N1W-B3
9107,9bd1efc7-effc-47c3-9759-ff9938d39e57,Solar Panel,LG Electronics,LG,LG295S1C-A5
9108,2ef15c5f-2ee8-400c-920d-993a11c4f125,Solar Panel,LG Electronics,LG,LG295N1W-G3
9109,c253cc31-e599-427e-9d71-3e70da5df95f,Solar Panel,LG Electronics,LG,LG295S1C-G4
9110,d3750966-f20f-46d8-87df-8b92afcaf2d0,Solar Panel,LG Electronics,LG,LG295S1W-A5
9111,70437da9-79a7-41ad-8423-119f0a4ea238,Solar Panel,LG Electronics,LG,LG295S1W-G4
9112,f0f38e92-cd9b-4bf1-95ca-31fcaffc6625,Solar Panel,LG Electronics,LG,LG300A1C-B3
9113,75be4e1a-2932-4a09-adb9-1667fd0da3ea,Solar Panel,LG Electronics,LG,LG300N1C-A3
9114,81ae5afc-a491-42c4-b956-6db04783a0b9,Solar Panel,LG Electronics,LG,LG300N1C-B3
9115,d602c526-ccf9-4308-9061-0205671bcff7,Solar Panel,LG Electronics,LG,LG300A1W-B3
9116,3f43b888-f65e-4189-8542-4c783e17b0a2,Solar Panel,LG Electronics,LG,LG300N1C-G3
9117,d86d0022-1d14-47ed-bb17-928b3f4c03ef,Solar Panel,LG Electronics,LG,LG300N1K-G4
9118,a0ffe035-877a-4876-ad47-beb92040a0f7,Solar Panel,LG Electronics,LG,LG300N1K-Z4
9119,86528883-e5f6-472b-8a56-ee9d5cb16efe,Solar Panel,LG Electronics,LG,LG300N1C-Z4
9120,6695134a-0a04-453d-8e56-3caa523cef28,Solar Panel,LG Electronics,LG,LG300N1C-G4
9121,5cc2fdbc-55ca-45cc-82a2-32e973db02d0,Solar Panel,LG Electronics,LG,LG300N1T-A4
9122,6269aa20-f935-4217-b03a-2bdb429111ba,Solar Panel,LG Electronics,LG,LG300N1W-A3
9123,f046108a-6a48-427b-9add-dbd33464d681,Solar Panel,LG Electronics,LG,LG300N1W-G3
9124,0248325c-d396-4ca6-a662-fff60a45dd5f,Solar Panel,LG Electronics,LG,LG300N1W-B3
9125,428fad53-5168-4b2b-998b-86c0127ee5c8,Solar Panel,LG Electronics,LG,LG300N1W-G4
9126,79d98876-f1e9-4df5-b8a3-938e2456e282,Solar Panel,LG Electronics,LG,LG300S1W-A5
9127,5e6f459d-80f3-421c-8335-bcd9d25db217,Solar Panel,LG Electronics,LG,LG305A1C-B3
9128,cb505448-2067-4ca5-b2a2-9d9fe7704efc,Solar Panel,LG Electronics,LG,LG300S1C-A5
9129,9429503c-38f8-4b3a-aec4-d34fd8615377,Solar Panel,LG Electronics,LG,LG305N1C-Z4
